X,Y,COMUNA,NOMBRE,UBICACION,LUGAR,DIRECCION NORMALIZADA
-58.4167290902927,-34.5728271028138,14,RECTANGULAR I,PQUE. 3 DE FEBRERO (IRAOLA Y MONTT),ESPACIOS VERDES,IRAOLA AV. Y MONTT, PEDRO, PRES. AV.
-58.4167290902927,-34.5728271028138,14,RECTANGULAR II,PQUE. 3 DE FEBRERO (IRAOLA Y MONTT),ESPACIOS VERDES,IRAOLA AV. Y MONTT, PEDRO, PRES. AV.
-58.4167290902927,-34.5728271028138,14,PATÍO ANDALUZ I,PQUE. 3 DE FEBRERO (IRAOLA Y MONTT),ESPACIOS VERDES,IRAOLA AV. Y MONTT, PEDRO, PRES. AV.
-58.4167290902927,-34.5728271028138,14,PATÍO ANDALUZ II,PQUE. 3 DE FEBRERO (IRAOLA Y MONTT),ESPACIOS VERDES,IRAOLA AV. Y MONTT, PEDRO, PRES. AV.
-58.4872082422709,-34.5748391138861,12,PLAZA CONTURSI,AV. MONROE 5200,ESPACIOS VERDES,MONROE 5200
-58.4769131424718,-34.5812022559824,15,EXODO JUJEÑO,PQUE CHASS (VICTORIA Y GANDARA),ESPACIOS VERDES,CADIZ Y GANDARA
-58.3992749930615,-34.5827303998268,14,PLAZA CHILE,PLAZA CHILE,ESPACIOS VERDES,TAGLE Y DEL LIBERTADOR AV.
-58.393122111891,-34.5830141717139,2,FLORALIS GENERICA,PZA. DE LAS NACIONES UNIDAS,ESPACIOS VERDES,FIGUEROA ALCORTA, PRES. AV. Y BIBILONI, JUAN A.
-58.3973114867049,-34.5830791667124,2,RUBEN DARIO,AV. DEL LIBERTADOR Y AUSTRIA,ESPACIOS VERDES,DEL LIBERTADOR AV. Y AUSTRIA
-58.4061723829633,-34.583459241503,14,JUEGO DE AGUA,PQUE. LAS HERAS,ESPACIOS VERDES,DIAZ, CNEL. AV. Y LAS HERAS GENERAL AV.
-58.4167338341658,-34.5846258362914,14,OVAL,JARDIN BOTANICO,ESPACIOS VERDES,SANTA FE AV. Y REPUBLICA ARABE SIRIA
-58.4167338341658,-34.5846258362914,14,REDONDA,JARDIN BOTANICO,ESPACIOS VERDES,SANTA FE AV. Y REPUBLICA ARABE SIRIA
-58.4167338341658,-34.5846258362914,14,RECTANGULAR,JARDIN BOTANICO,ESPACIOS VERDES,SANTA FE AV. Y REPUBLICA ARABE SIRIA
-58.4167338341658,-34.5846258362914,14,DEL PATO,JARDIN BOTANICO,ESPACIOS VERDES,SANTA FE AV. Y REPUBLICA ARABE SIRIA
-58.4167338341658,-34.5846258362914,14,CASCADA DEL JARDIN BOTANICO,JARDIN BOTANICO,ESPACIOS VERDES,SANTA FE AV. Y REPUBLICA ARABE SIRIA
-58.4167338341658,-34.5846258362914,14,INTENDENTE CASARES,SANTA FE Y REPUBLICA ARABE SIRIA,ESPACIOS VERDES,SANTA FE AV. Y REPUBLICA ARABE SIRIA
-58.3917185351221,-34.5847567443332,2,LAS TARASCAS,PZA. DANTE (AV. LIBERTADOR Y PUEYRREDON),ESPACIOS VERDES,DEL LIBERTADOR AV. Y PUEYRREDON AV.
